Wall time,Step,Reward,Episode_Length
1699422453,907264,43.45107269,230.0899963
1699422496,913408,54.542099,233.9600067
1699422569,925696,32.74891281,235.2200012
1699422684,944128,67.63857269,251.75
1699422727,950272,91.79237366,262.2900085
1699422739,952320,73.30250549,255.3300018
1699422851,970752,59.69701004,257.3399963
1699422863,972800,62.25809097,257.769989
1699423047,1001472,74.13482666,263.9299927
1699423058,1003520,76.70824432,264.1799927
1699423082,1007616,64.7494812,252.5399933
1699423111,1011712,73.7686615,253.3500061
1699423295,1040384,77.27249146,243.3699951
1699423356,1050624,89.29986572,250.3600006
1699423379,1054720,77.00930786,242.7200012
1699423419,1060864,72.66065216,237.6300049
1699423517,1077248,66.90433502,246.3800049
1699423594,1089536,88.61219025,258.0100098
1699423620,1093632,78.26952362,255.3500061
1699423655,1099776,76.36517334,256.6199951
1699423736,1112064,55.89962006,253.0500031
1699423798,1122304,78.77043152,259.1000061
1699423810,1124352,70.87690735,251.1799927
1699423923,1142784,71.52494049,235.4799957
1699423946,1146880,69.0247879,234.8699951
1699423994,1155072,75.52204895,236.4299927
1699424006,1157120,75.79656982,236.3200073
1699424073,1167360,75.68480682,240.3300018
1699424122,1175552,80.7703476,237.5299988
1699424141,1177600,79.99071503,239.0099945
1699424206,1187840,71.98693085,239.2599945
1699424233,1191936,80.64920044,249.2899933
1699424245,1193984,82.2131958,247.1799927
1699424268,1198080,78.4905014,248.7100067
1699424294,1202176,74.74263,246.9400024
1699424305,1204224,79.67539215,247.2799988
1699424366,1214464,85.2127533,258.5400085
1699424378,1216512,83.77076721,256.2200012
1699424466,1230848,73.36857605,251.3699951
1699424490,1234944,73.88648987,243.5500031
1699424568,1247232,92.86452484,247.8999939
1699424595,1251328,92.98880768,246.9100037
1699424657,1261568,92.12401581,246.6100006
1699424722,1271808,81.23020172,236.1900024
1699424746,1275904,98.0063858,240.5200043
1699424897,1300480,122.9607468,271.8699951
1699424984,1314816,111.103775,272.0599976
1699424995,1316864,102.7706985,267.2799988
1699425020,1320960,111.4225235,264.5100098
1699425032,1323008,115.9423523,266.2999878
1699425044,1325056,104.7739868,265.1600037
1699425056,1327104,87.18251801,261.7900085
1699425085,1331200,99.27687073,269.2799988
1699425121,1337344,107.6502914,253.1900024
1699425171,1345536,109.3386536,259.9200134
1699425236,1355776,122.1791687,260.75
1699425274,1361920,106.2109985,256.0799866
1699425323,1370112,94.49259949,254.7200012
1699425359,1376256,73.19376373,245.5200043
1699425371,1378304,77.45592499,247.6900024
1699425397,1382400,91.40714264,255.5200043
1699425409,1384448,95.00468445,258.9100037
1699425448,1390592,96.86437988,261.2200012
1699425460,1392640,103.1565018,263.0499878
1699425500,1398784,121.8418121,271.7999878
1699425514,1400832,133.4354095,272.6099854
1699425578,1411072,126.515564,278.2999878
1699425596,1413120,126.3491287,281.2999878
1699425683,1427456,104.0998993,275.8699951
1699425723,1433600,98.20093536,270.5299988
1699425772,1441792,109.826561,276.8800049
1699425808,1447936,118.8713608,276.8999939
1699425840,1452032,135.4023132,282.5100098
1699425864,1456128,132.7823334,281.1199951
1699425913,1464320,149.9619446,296.980011
1699425964,1472512,135.4447479,287.8500061
1699425999,1478656,143.561676,297.1600037
1699426013,1480704,152.4895935,306.9700012
1699426025,1482752,166.7876434,310.5299988
1699426037,1484800,167.4693756,313.9100037
1699426113,1497088,177.7889404,316.7099915
1699426196,1509376,169.598938,311.3500061
1699426224,1513472,161.9826202,298.7999878
1699426235,1515520,154.513855,290.9899902
1699426287,1523712,144.0638733,289.980011
1699426330,1529856,150.1277161,291.6700134
1699426344,1531904,150.4127808,295.2099915
1699426380,1538048,157.1683197,298.7200012
1699426394,1540096,164.9456329,296.3099976
1699426406,1542144,175.6573181,303
1699426436,1546240,170.9476929,308.9200134
1699426462,1550336,192.6583862,311.6799927
1699426572,1568768,169.5396729,306.25
1699426587,1570816,180.8406372,317.1499939
1699426623,1576960,173.8790131,317.3299866
1699426635,1579008,172.4652252,316.769989
1699426653,1581056,168.1120605,318.1199951
1699426677,1585152,167.755722,321.8200073
1699426689,1587200,184.2872925,328.3200073
1699426762,1599488,218.244812,345.3800049
1699426816,1607680,204.5858765,331.5100098
1699426828,1609728,217.495163,333.4400024
1699426855,1613824,222.2479095,337.7900085
1699426878,1617920,220.5175323,338.1099854
1699426922,1624064,205.6333771,328.3500061
1699426934,1626112,199.9137878,325.0100098
1699426945,1628160,201.2770233,329
1699426958,1630208,192.525177,327.3299866
1699426995,1636352,176.0887604,324.7399902
1699427045,1644544,177.323349,326.5499878
1699427082,1650688,154.8200989,318.8299866
1699427106,1654784,165.6161346,324.1000061
1699427118,1656832,156.9270782,320.230011
1699427130,1658880,152.6017303,315.3900146
1699427208,1671168,156.0928345,316.2799988
1699427219,1673216,157.7891541,316.269989
1699427243,1677312,163.7377777,315.1300049
1699427284,1683456,154.1268158,308.9100037
1699427333,1691648,155.9147186,315.1199951
1699427368,1697792,147.1068878,323.7600098
1699427410,1703936,135.5902557,311.730011
1699427421,1705984,136.9317017,315.0499878
1699427470,1714176,164.7028503,328.75
1699427494,1718272,150.3630676,327.3900146
1699427556,1728512,188.4768524,328
1699427594,1734656,195.8444519,345.4100037
1699427867,1777664,238.2546387,351.6600037
1699427895,1781760,241.1241455,349.4200134
1699427907,1783808,226.1751251,343
1699427959,1792000,218.7976074,333.2399902
1699427983,1796096,211.8607788,330.6000061
1699428033,1804288,210.8660278,329.3399963
1699428057,1808384,201.1809845,323.0400085
1699428084,1812480,193.9766083,325.0400085
1699428119,1818624,214.0610657,331.1900024
1699428157,1824768,197.277298,328.3500061
1699428235,1837056,178.0870361,320.8900146
1699428286,1845248,190.7666168,324.8999939
1699428376,1859584,258.8156433,356.7600098
1699428390,1861632,260.3631897,357.2200012
1699428394,1863680,259.3146362,358.8900146
1699428398,1865728,252.9952698,351.9299927
1699428427,1875968,287.690094,373.6799927
1699428453,1880064,266.7343445,368.9700012
1699428490,1886208,212.6455078,356.1000061
1699428502,1888256,193.7206726,351.6199951
1699428507,1890304,209.8592072,356.5499878
